dream	count_13_18	count_18_30	total	ratio_young
להיות שחקן כדורגל	813	344	1157	0.7026793431287813
להיות עשיר	223	305	528	0.42234848484848486
להיות זמרת	269	177	446	0.6031390134529148
להיות שחקנית	258	148	406	0.6354679802955665
לרדת במשקל	192	151	343	0.5597667638483965
להיות כדורגלן	200	85	285	0.7017543859649122
להיות רזה	169	93	262	0.6450381679389313
להיות דוגמנית	171	87	258	0.6627906976744186
להיות עשירה	123	118	241	0.5103734439834025
להרזות	126	79	205	0.6146341463414634
להיות זמר	91	99	190	0.4789473684210526
להיות מיליונר	83	99	182	0.45604395604395603
להיות מניקוריסטית	99	72	171	0.5789473684210527
שחקן כדורגל	112	57	169	0.6627218934911243
לקנות בית	7	161	168	0.041666666666666664
להיות מפורסמת	101	65	166	0.608433734939759
להיות שחקן כדורסל	122	42	164	0.7439024390243902
להיות רקדנית	99	56	155	0.6387096774193548
לקנות רכב	33	115	148	0.22297297297297297
לפתוח עסק	34	114	148	0.22972972972972974
לקנות דירה	3	141	144	0.020833333333333332
להיות שחקן כדורגל מקצועי	94	32	126	0.746031746031746
לשחות עם דולפינים	54	68	122	0.4426229508196721
לחסוך כסף	68	53	121	0.5619834710743802
להיות מליונר	40	78	118	0.3389830508474576
לעשות כסף	35	74	109	0.3211009174311927
לקנות טרקטורון	68	36	104	0.6538461538461539
להיות מאפרת	56	45	101	0.5544554455445545
להיות שחקן כדורגל מצליח	66	31	97	0.6804123711340206
להרוויח כסף	61	34	95	0.6421052631578947
לטייל בעולם	25	69	94	0.26595744680851063
להצליח בלימודים	61	32	93	0.6559139784946236
לפגוש את נועה קירל	56	37	93	0.6021505376344086
להיות מעצבת אופנה	57	35	92	0.6195652173913043
להיות טייס	44	46	90	0.4888888888888889
להיות שחקן	43	46	89	0.48314606741573035
לטוס לתאילנד	20	60	80	0.25
להיות מפורסם	44	36	80	0.55
getting rich	30	50	80	0.375
to be rich	30	50	80	0.375
become a millionaire	22	57	79	0.27848101265822783
make it to the nba	45	34	79	0.569620253164557
להיות ספר	42	37	79	0.5316455696202531
get rich	23	54	77	0.2987012987012987
לקנות אופנוע	34	42	76	0.4473684210526316
לטוס לחול	28	45	73	0.3835616438356164
become rich	25	46	71	0.352112676056338
להיות רופאה	53	18	71	0.7464788732394366
להתחתן	10	61	71	0.14084507042253522
להתעשר	20	48	68	0.29411764705882354
ללמוד אנגלית	19	47	66	0.2878787878787879
להיות איש עסקים	35	29	64	0.546875
lose weight	19	45	64	0.296875
להיות מעצבת פנים	39	24	63	0.6190476190476191
‏להיות שחקן כדורגל	42	21	63	0.6666666666666666
להיות יוטיובר	31	32	63	0.49206349206349204
לדגמן	37	24	61	0.6065573770491803
להיות יפה	34	26	60	0.5666666666666667
כדורגלן	39	18	57	0.6842105263157895
making it to the nba	43	14	57	0.7543859649122807
חופש כלכלי	3	54	57	0.05263157894736842
לטוס ליפן	31	25	56	0.5535714285714286
לעשות סקס	21	35	56	0.375
nba player	34	21	55	0.6181818181818182
לעבוד בהייטק	31	24	55	0.5636363636363636
להיות מאושרת	19	36	55	0.34545454545454546
לעשות הרבה כסף	16	36	52	0.3076923076923077
youtuber	19	33	52	0.36538461538461536
acting	20	32	52	0.38461538461538464
be rich	21	30	51	0.4117647058823529
travel the world	10	40	50	0.2
לדעת אנגלית	33	17	50	0.66
זמרת	27	22	49	0.5510204081632653
צניחה חופשית	15	34	49	0.30612244897959184
להיות קונדיטורית	33	15	48	0.6875
להיות מיליונרית	23	25	48	0.4791666666666667
professional soccer player	29	19	48	0.6041666666666666
שחקנית	33	15	48	0.6875
become a professional soccer player	28	20	48	0.5833333333333334
make the nba	30	17	47	0.6382978723404256
להתחטב	21	26	47	0.44680851063829785
become wealthy	11	36	47	0.23404255319148937
nba	32	14	46	0.6956521739130435
making the nba	27	19	46	0.5869565217391305
להיות עורכת דין	20	25	45	0.4444444444444444
to be wealthy	10	35	45	0.2222222222222222
becoming wealthy	8	37	45	0.17777777777777778
make money	16	28	44	0.36363636363636365
singer	18	26	44	0.4090909090909091
להשיג כסף	28	15	43	0.6511627906976745
להוריד במשקל	25	18	43	0.5813953488372093
soccer player	29	14	43	0.6744186046511628
להיות שחקנית כדורגל	30	13	43	0.6976744186046512
לקנות קורקינט חשמלי	28	14	42	0.6666666666666666
getting wealthy	9	32	41	0.21951219512195122
לעשות צניחה חופשית	23	18	41	0.5609756097560976
לפתוח מסעדה	8	32	40	0.2
fashion designer	14	26	40	0.35
rich	14	26	40	0.35
make it to the nfl	21	18	39	0.5384615384615384
